word	definition
a	art. 一（个；件）
ability	n. 能力；才能
able	adj. 能够；有能力的
about	adv. 大约；到处；四处；prep. 关于；在各处；四处
above	prep. 在......上面；adj. 上面的；adv. 在......之上
abroad	adv. 到（在）国外
absent	adj. 缺席的；缺少的；心不在焉的；v. 使缺席
accent	n. 重音, 口音, 特点, 注重点；vt. 重读, 加重音号于, 强调
accept	v. 接受
accident	n. 事故；意外
ache	n. 疼痛；vi. 痛, 哀怜, 渴望
achieve	v. 取得；获得；实现
across	prep./adv. 横过；穿过；另一边；在对面
act	n. 法令；条例；v. 行动；（戏）表演；扮演（角色）
action	n. 行动；行为；举动
active	adj. 积极的；主动的
activity	n. 活动
add	n. 加法；加法运算；v. 加；增加；加起来
address	n. 地址；演讲；致辞；v. 演说；从事；忙于
advantage	n. 优点；好处；有利条件
advertisement	n. 广告
advice	n. 忠告；劝告；建议
advise	v. 建议；劝告；忠告
afford	v. 负担得起（......的费用）；抽得出（时间）；提供
afraid	adj. 害怕的；担心
after	adv. 在后；后来；prep. 在......之后；conj. 在......以后
afternoon	n. 下午；午后
again	adv. 再一次；再；又
against	prep. 对着；反对；倚靠
age	n. 年龄；时代
ago	adv. 以前
agree	v. 同意
agreement	n. 协议；同意；一致
air	n. 空气；大气
airline	n. 航线, 航线的设备, 航空公司
airplane	n. （美）飞机
airport	n. 航空站；飞机场
alive	adj. 活着的；存在的
all	adv. 全部地；adj. 全（部）；所有的；总；整；pron. 全部；全体
allow	v. 允许；准许
almost	adv. 几乎；差不多
alone	adj. 单独的；孤独的
along	adv. 向前；和......一起；一同；prep. 沿着；顺着
aloud	adv. 大声地；出声地
already	adv. 已经
also	adv. 也
although	conj. 虽然；尽管
always	adv. 总是；一直；永远
America	n. 美洲, 美国
American	n. 美国人；a. 美国的, 美洲的
among	prep. 在......中间；在（三个以上）之间
ancient	n. 古代人；老人；adj. 古代的；古老的；过时的
and	conj. 和；又
angry	adj. 生气的；愤怒的
animal	n. 动物
another	adj. 再一；另一；别的；pron. 另一个
answer	n. 回答；答复；答案；v. 回答；答复；（作出）答案
ant	n. 蚂蚁
any	pron. 任何的；（用于疑问句、否定句）一些；什么
anybody	n. 重要人物；pron. 任何人
anyone	pron. 任何人；无论谁
anything	pron. 什么事（物）；任何事（物）
anyway	adv. 无论如何；不管怎样；总之
anywhere	adv. 任何地方
appear	v. 出现；显得；似乎
apple	n. 苹果
April	n. 四月
area	n. 面积；地域；区域；范围；领域
arm	n. 臂；支架；（美）武器；武力
army	n. 军队
around	adv. 在周围；在附近；prep. 在......周围；大约
arrive	v. 到达；达到
art	n. 艺术；美术；技艺
article	n. 文章；物品；冠词
as	adv./conj. 像......一样；当......时；如同；因为；prep. 作为；当做
Asia	n. 亚洲
Asian	n. 亚洲人；a. 亚洲的, 亚洲人的
ask	v. 问；请求；要求；邀请
asleep	adj. 睡着的；熟睡
at	prep. 在（几点钟）；在（某处）
Atlantic	n. 大西洋；a. 大西洋的
attention	n. 注意；关心
august	n. 八月；a. 威严的, 令人敬畏的
aunt	n. 伯母；舅母；婶；姑；姨
Australia	n. 澳洲, 澳大利亚
Australian	n. 澳大利亚人；a. 澳大利亚的, 澳洲的, 澳洲人的
autumn	n. 秋天；秋季
available	adj. 可获得的；可购得的；可找到的
avoid	v. 避免；避开；躲避
