word	definition
ability	n. 能力；才能
above	prep. 在......上面；adj. 上面的；adv. 在......之上
abroad	adv. 到（在）国外
absent	adj. 缺席的；缺少的；心不在焉的；v. 使缺席
accent	n. 重音, 口音, 特点, 注重点；vt. 重读, 加重音号于, 强调
accept	v. 接受
accident	n. 事故；意外
achieve	v. 取得；获得；实现
action	n. 行动；行为；举动
active	adj. 积极的；主动的
activity	n. 活动
address	n. 地址；演讲；致辞；v. 演说；从事；忙于
advantage	n. 优点；好处；有利条件
advertisement	n. 广告
advice	n. 忠告；劝告；建议
advise	v. 建议；劝告；忠告
afford	v. 负担得起（......的费用）；抽得出（时间）；提供
against	prep. 对着；反对；倚靠
agree	v. 同意
agreement	n. 协议；同意；一致
airline	n. 航线, 航线的设备, 航空公司
airport	n. 航空站；飞机场
alive	adj. 活着的；存在的
allow	v. 允许；准许
almost	adv. 几乎；差不多
alone	adj. 单独的；孤独的
along	adv. 向前；和......一起；一同；prep. 沿着；顺着
aloud	adv. 大声地；出声地
although	conj. 虽然；尽管
ancient	n. 古代人；老人；adj. 古代的；古老的；过时的
animal	n. 动物
anyway	adv. 无论如何；不管怎样；总之
anywhere	adv. 任何地方
appear	v. 出现；显得；似乎
arrive	v. 到达；达到
article	n. 文章；物品；冠词
Asian	n. 亚洲人；a. 亚洲的, 亚洲人的
asleep	adj. 睡着的；熟睡
attention	n. 注意；关心
Australian	n. 澳大利亚人；a. 澳大利亚的, 澳洲的, 澳洲人的
available	adj. 可获得的；可购得的；可找到的
avoid	v. 避免；避开；躲避
awake	v. 唤醒；adj. 醒着的
background	n. 背景；隐蔽的位置；adj. 背景的；发布背景材料的；v. 作...的背景
balance	n. 平衡；余额；匀称；v. 使平衡；结算；使相称
balloon	n. 气球
baseball	n. 棒球
basic	n. 基础；要素；adj. 基本的；基础的
basket	n. 篮子
bathroom	n. 浴室；厕所；盥洗室
beach	n. 海滨；海滩
become	v. 变得；成为
bedroom	n. 寝室；卧室
begin	v. 开始；着手
behind	prep. （表示位置）在......后面；adv. 在后面；向后
believe	v. 相信；认为
below	prep. 在......下面
beside	prep. 在......旁边；靠近
besides	prep. 除......以外（还有）；adv. 还有；此外
beyond	prep. 超过；越过；那一边；n. 远处；adv. 在远处；在更远处
bicycle	n. 自行车
birth	n. 出生；诞生
biscuit	n. 小点心；饼干
bitter	a. 苦的, 痛苦的, 怀恨的；adv. 刺骨
blind	adj. 瞎的
blood	n. 血；血液；血统；v. 从...抽血；使先取得经验
board	n. 木板；布告牌；（政府的）部；v. 上（船、火车、飞机）
boring	adj. 乏味的；无聊的
borrow	v.（向别人）借用；借
bottle	n. 瓶子
bottom	n. 底部；底
brain	n. 脑（子）
brave	n. 勇士；adj. 勇敢的；华丽的；v. 勇敢地面对
break	n. 间隙；中断；暂停；v. 打破（断；碎）
breath	n. 呼吸；气息；一口气
breathe	v. 呼吸
bridge	n. 桥
bright	adj. 明亮的；聪明的
bring	v. 拿来；带来；取来
brother	n. 兄；弟
brush	v. 刷；擦；n. 刷子
build	v. 建筑；造
building	n. 建筑物；房屋；大楼
business	n.（本分）工作；职业；职责；生意；交易；事业
butter	n. 黄油；奶油
butterfly	n. 蝴蝶
camera	n. 照相机；摄像机
cancel	v. 取消；撤销；删去；n. 取消；撤销
cancer	n. 癌, 恶性肿瘤；癌
candle	n. 蜡烛
candy	n. 糖果
capital	n.首都；省会；大写；资本
captain	n.（海军）上校；船长；舰长；队长
careful	adj. 小心；仔细；谨慎的
carry	v. 拿；搬；带；提；抬；背；抱；运等
catch	v. 接住；捉住；赶上；染上（疾病）
cause	n. 原因；起因；v. 促使；引起；使发生
ceiling	n. 天花板；顶棚
celebrate	v. 庆祝
century	n. 世纪；百年
certain	adj. （未指明真实名称的）某......；确定的；无疑的；一定会......
chairman	n. 主席, 会长；主席
challenge	n.挑战（性）
chance	n. 机会；可能性
change	n. 零钱；找头；v. 改变；变化；更换；兑换
cheap	adj. 便宜的；贱
cheat	n. 欺骗；作弊；骗子；v. 欺骗；骗取；作弊
check	n. 检查；批改；v. 校对；核对；检查；批改
cheer	n. 欢呼；愉快；心情；v. 欢呼；使高兴；为...加油
cheese	n. 奶酪
chemistry	n. 化学
chest	n. 胸, 胸部, 衣柜, 箱子；胸, 胸廓
chocolate	n. 巧克力
choice	n. 选择；选择权；精选品；adj. 精选的；仔细推敲的
choose	v. 选择
Christmas	n. 圣诞节
church	n. 教堂, 礼拜, 教会；vt. 使人接受宗教仪式
circle	n./v. 圆；环绕
clear	adj. 清晰；明亮的；清楚的
clever	adj. 聪明的；伶俐的
climb	v. 爬；攀登
clock	n. 钟
coach	n. 教练；旅客车厢；长途公车；v. 训练；指导；作指导
coast	n. 海岸；滑坡；v. 沿...岸航行；滑行；沿岸航行
coffee	n. 咖啡
collect	v. 收集；搜集
college	n. 学院；专科学校
comfortable	adj. 舒服的；安逸的；舒服自在的
common	adj. 普通；一般；共有的
communicate	v. 交流；沟通
communication	n. 交流；沟通
community	n. 社区；群落；共同体
company	n. 公司
compare	v. 相比；匹敌；比较；n. 比较
competition	n. 比赛；竞赛
complete	adj. 完整的；完全的；彻底的；v. 完成
composition	n. 作文, 创作, 组成；成分; 组成
computer	n. 电子计算机
concert	n. 音乐会；演奏会
condition	n. 条件；情况；环境；v. 决定；使适应；使健康
conference	n. 会议；会议, 讨论会, 协商会
connect	v. 连接；把......联系起来
consider	v. 考虑；认为；细想
continue	v. 继续
control	n. 控制；管理；抑制；v. 控制；管理；抑制
conversation	n. 谈话；交谈
corner	n. 角；角落；拐角
correct	v. 改正；纠正；adj. 正确的；对的；恰当的
cotton	n. 棉花；vi. 和谐, 有好感, 理解
cough	n./v. 咳嗽
count	v. 数；点数
countryside	n. 乡下；农村
couple	n. 夫妇；一对
courage	n. 勇气；胆量
course	n. 过程；经过；课程
cousin	n. 堂（表）兄弟；堂（表）姐妹
cover	n. 盖子；罩；v. 覆盖；遮盖；掩盖
crazy	adj. 疯狂的；狂热的；着迷的
create	v. 创造；创作；造成
creative	adj. 创造性的
cross	adj. 脾气不好的；易怒的；n. 十字形的东西；v. 越过；穿过
cruel	adj. 残酷的；残忍的；使人痛苦的
culture	n. 文化
custom	n. 习惯；惯例；风俗；adj. （衣服等）定做的；定制的
daily	adj. 每日的；日常的；adv. 每天；n. 日报
danger	n. 危险；危险物；威胁
dangerous	adj. 危险的
daughter	n. 女儿
death	n. 死
decide	v. 决定；下决心
decision	n. 决定
degree	n. 程度；等级；度
delicious	adj. 美味的；可口的
depend	v. 依靠；依赖；指望；取决于
describe	v. 描写；叙述
develop	v.（使）发展；开发；v. 冲洗（照片）
development	n. 发展；开发；发育
dialogue	n. 对话
diary	n. 日记；日记簿
diet	n. 饮食；食物；规定饮食；v. 照规定饮食；节食
difference	n. 不同
different	adj. 不同的；有差异的
difficult	adj. 难；艰难；不易相处的
difficulty	n. 困难；费力
digital	a. 数字显示的, 数字的；n. 数字仪表, 数字式电子表(或时钟)
direct	adj. 直接的；直截了当的；v. 指挥；指导；导演（电影）
direction	n. 方向；方位
director	n. 所长；处长；主任；董事；导演
dirty	adj. 脏的
disappointed	a. 失望的
discover	v. 发现
discovery	n. 发现
discuss	v. 讨论；议论
discussion	n. 讨论
disease	n. 病；疾病
dismiss	vt. 解散, 开除, 解职；vi. 解散
distance	n. 距离；远方；疏远；v. 疏远；把...远远甩在后面
disturb	vt. 扰乱, 妨碍, 使不安；滋扰, 扰乱
divide	v. 分；划分
doctor	n. 医生；大夫；博士
double	adj. 两倍.双的；n. 两个.双
doubt	n. 怀疑；疑问；疑惑；v. 怀疑；不信；恐怕
downstairs	n. 楼下；a. 楼下的
dozen	n. 打, 十二个；a. 一打的
drawer	n. 抽屉, 开票人；抽屉
dream	n./v. 梦；梦想
drive	n. 驱动器；驾车；内驱力；v. 开车；猛击；飞跑
driver	n. 驾驶员；驱动程序；起子
during	prep. 在......期间；在......过程中
earth	n. 地球；土；泥；大地
education	n. 教育；培养
effort	n. 努力；成就
eighteen	num. 十八
eighth	num. 第八
eighty	num. 八十
elder	n. 长者；前辈
electric	a. 电的, 导电的, 电动的；电的
eleven	num. 十一
empty	adj. 空的
encourage	v. 鼓励
enemy	n. 敌人；敌军
energy	n. 能量；精力；活力
engineer	n. 工程师；技师
enjoy	v. 欣赏；享受乐趣；喜欢
enough	n. 足够；充足；adj. 足够；充分的；adv. 足够地；充分地
enter	v. 进入
environment	n.环境
especially	adv. 特别；尤其
European	n. 欧洲人；a. 欧洲的, 欧洲人的
everyday	adj. 每日的；日常的
everywhere	adv. 到处
examination	n. 考试, 测验, 审查；检查, 诊察
examine	v. 检查；诊察
example	n. 例子；榜样
excellent	adj. 极好的；优秀的
except	prep. 除......之外
excite	vt. 刺激, 使兴奋, 激励
excuse	n. 借口；辩解；v. 原谅；宽恕
exercise	n. 锻炼；做操；练习；习题；v. 锻炼
expect	v. 预料；盼望；认为
expensive	adj. 昂贵的
experience	n. 经历；经验；v. 经历
experiment	n. 实验
explain	v. 解释；说明
express	v. 表达；表示；表情；n. 快车；特快专递
factory	n. 工厂
famous	adj. 著名的
fantastic	n. 古怪的人；adj. 奇异的；空想的；异想天开的
farmer	n. 农民
feeling	n. 感情；感觉
festival	n. 节日
fetch	n. 取得, 拿, 诡计, 魂；vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
fever	n. 发烧；发热
field	n. 田地；牧场；场地
fifteen	num. 十五
fifth	num. 第五
fifty	num. 五十
fight	v. 战斗；打架；n. 战斗；争吵
final	adj. 最后的；终极的
finally	adv. 最后；终于；决定性地
finger	n. 手指
finish	v. 结束；做完
fisherman	n. 渔民；钓鱼健身者
floor	n. 地面；地板.（楼房的）层
follow	v. 跟随；仿效；跟得上
force	n. 力量；武力；军队；v. 促使；推动；强迫
foreign	adj. 外国的
foreigner	n. 外国人, 外地人；外国人, 进口货, 外国货
forest	n. 森林
forget	v. 忘记；忘掉
forty	num. 四十
