Word	Definition
ability	n. 能力；才能
able	adj. 能够；有能力的
absent	adj. 缺席的；缺少的；心不在焉的；v. 使缺席
accept	v. 接受
accident	n. 事故；意外
achieve	v. 取得；获得；实现
action	n. 行动；行为；举动
active	adj. 积极的；主动的
activity	n. 活动
actual	adj. 实际的；真实的
add	n. 加法；加法运算；v. 加；增加；加起来
address	n. 地址；演讲；致辞；v. 演说；从事；忙于
admire	v. 钦佩；赞美；称赞
admit	v. 承认；容许；准许进入
adult	n. 成年人；adj. 成年的；成熟的
advantage	n. 优点；好处；有利条件
advice	n. 忠告；劝告；建议
advise	v. 建议；劝告；忠告
affect	v. 影响
afford	v. 负担得起（......的费用）；抽得出（时间）；提供
afternoon	n. 下午；午后
again	adv. 再一次；再；又
age	n. 年龄；时代
agree	v. 同意
agreement	n. 协议；同意；一致
alive	adj. 活着的；存在的
allow	v. 允许；准许
almost	adv. 几乎；差不多
alone	adj. 单独的；孤独的
already	adv. 已经
also	adv. 也
always	adv. 总是；一直；永远
amazing	adj. 惊叹的；震惊的；令人惊讶的
among	prep. 在......中间；在（三个以上）之间
ancient	n. 古代人；老人；adj. 古代的；古老的；过时的
announce	v. 宣布；述说；预示
announcement	n. 通知；公告
anyone	pron. 任何人；无论谁
apologize	v. 道歉
apology	n. 道歉；歉意
appear	v. 出现；显得；似乎
apple	n. 苹果
application	n. 申请；应用
apply	v. 申请；应用
area	n. 面积；地域；区域；范围；领域
arrange	v. 安排；整理
art	n. 艺术；美术；技艺
article	n. 文章；物品；冠词
artist	n. 艺术家；美术家
attention	n. 注意；关心
aunt	n. 伯母；舅母；婶；姑；姨
available	adj. 可获得的；可购得的；可找到的
baby	n. 婴儿
bag	n. 袋；猎获物；（俚）一瓶啤酒；v. 猎获；把...装入袋中；占据
ball	n. 球；n. 舞会
banana	n. 香蕉
basic	n. 基础；要素；adj. 基本的；基础的
bathroom	n. 浴室；厕所；盥洗室
beautiful	adj. 美；美丽；美观的
bed	n. 床
behavior	n. 行为；举止
bike	n. 自行车
birth	n. 出生；诞生
birthday	n. 生日
blood	n. 血；血液；血统；v. 从...抽血；使先取得经验
boat	n. 小船；小舟
bored	v. 使厌烦；烦扰；adj. 无聊的；无趣的；烦人的
borrow	v.（向别人）借用；借
bottle	n. 瓶子
box	n. 盒子；箱子
boy	n. 男孩
brave	n. 勇士；adj. 勇敢的；华丽的；v. 勇敢地面对
bread	n. 面包
break	n. 间隙；中断；暂停；v. 打破（断；碎）
breakfast	n. 早餐
bright	adj. 明亮的；聪明的
broken	adj. 破损的；坏掉的
brother	n. 兄；弟
build	v. 建筑；造
bus	n. 公共汽车
business	n.（本分）工作；职业；职责；生意；交易；事业
camera	n. 照相机；摄像机
cancel	v. 取消；撤销；删去；n. 取消；撤销
carefully	adv. 小心地
catch	v. 接住；捉住；赶上；染上（疾病）
cause	n. 原因；起因；v. 促使；引起；使发生
celebrate	v. 庆祝
certain	adj. （未指明真实名称的）某......；确定的；无疑的；一定会......
