Word	Definition
a	art. 一（个；件）
a bit	phr. 一点；稍微
a few	phr. 一些；几个
a little	phr. 一点；少量
a lot	phr. 很；非常
a lot of	phr. 许多；大量
a number of	phr. 许多；若干
a pair of	phr. 一双；一对
ability	n. 能力；才能
able	adj. 能够；有能力的
about	adv. 大约；到处；四处；prep. 关于；在各处；四处
above	prep. 在......上面；adj. 上面的；adv. 在......之上
above all	phr. 最重要的是；首先
abroad	adv. 到（在）国外
absent	adj. 缺席的；缺少的；心不在焉的；v. 使缺席
accept	v. 接受
accident	n. 事故；意外
according to	phr. 根据；按照
achieve	v. 取得；获得；实现
achievement	n. 成就；成绩
across	prep./adv. 横过；穿过；另一边；在对面
act	n. 法令；条例；v. 行动；（戏）表演；扮演（角色）
action	n. 行动；行为；举动
active	adj. 积极的；主动的
activity	n. 活动
actor	n. 男演员；行动者；作用物
actress	n. 女演员
ad	n. 公元；广告
add	n. 加法；加法运算；v. 加；增加；加起来
address	n. 地址；演讲；致辞；v. 演说；从事；忙于
admire	v. 钦佩；赞美；称赞
admit	v. 承认；容许；准许进入
adult	n. 成年人；adj. 成年的；成熟的
advantage	n. 优点；好处；有利条件
adventure	n. 冒险；奇遇
advertisement	n. 广告
advice	n. 忠告；劝告；建议
advise	v. 建议；劝告；忠告
affect	v. 影响
afford	v. 负担得起（......的费用）；抽得出（时间）；提供
afraid	adj. 害怕的；担心
after	adv. 在后；后来；prep. 在......之后；conj. 在......以后
after all	phr. 毕竟；终究
afternoon	n. 下午；午后
again	adv. 再一次；再；又
again and again	phr. 一再；反复地
against	prep. 对着；反对；倚靠
age	n. 年龄；时代
agent	n. 代理人；代理商；药剂；adj. 代理的；v. 由...作中介；由...代理
ago	adv. 以前
agree	v. 同意
agree with	phr. 同意；赞成；适合
agreement	n. 协议；同意；一致
agriculture	n. 农业；农耕；农业生产
ahead	adj. 向前；在前的；领先；adv. 向前地；领先地；在（某人或某事物的）前面
aid	n. 援助；帮助；助手；v. 援助；帮助；有助于
air	n. 空气；大气
airplane	n. （美）飞机
airport	n. 航空站；飞机场
alarm	n. 闹钟；警报；警告器；v. 警告；使惊恐
album	n. 相簿；唱片集；集邮簿
alive	adj. 活着的；存在的
all	adv. 全部地；adj. 全（部）；所有的；总；整；pron. 全部；全体
all kinds of	phr. 各种各样的
all over	phr. 遍及；到处
allow	v. 允许；准许
almost	adv. 几乎；差不多
alone	adj. 单独的；孤独的
along	adv. 向前；和......一起；一同；prep. 沿着；顺着
along with	phr. 连同；和......一起
aloud	adv. 大声地；出声地
already	adv. 已经
also	adv. 也
although	conj. 虽然；尽管
always	adv. 总是；一直；永远
amazing	adj. 惊叹的；震惊的；令人惊讶的
among	prep. 在......中间；在（三个以上）之间
amount	n. 数量；总额；总数；v. 总计；合计；相当于
amusement	n. 消遣；娱乐；乐趣
an	art. 一（个；件）
ancient	n. 古代人；老人；adj. 古代的；古老的；过时的
and	conj. 和；又
angry	adj. 生气的；愤怒的
animal	n. 动物
announce	v. 宣布；述说；预示
announcement	n. 通知；公告
another	adj. 再一；另一；别的；pron. 另一个
answer	n. 回答；答复；答案；v. 回答；答复；（作出）答案
ant	n. 蚂蚁
any	pron. 任何的；（用于疑问句、否定句）一些；什么
anybody	n. 重要人物；pron. 任何人
anyone	pron. 任何人；无论谁
anything	pron. 什么事（物）；任何事（物）
anyway	adv. 无论如何；不管怎样；总之
anywhere	adv. 任何地方
apartment	n. 公寓
apologize	v. 道歉
apology	n. 道歉；歉意
appear	v. 出现；显得；似乎
appearance	n. 外貌；外观；出现
apple	n. 苹果
application	n. 申请；应用
apply	v. 申请；应用
appointment	n. 约会；预约
area	n. 面积；地域；区域；范围；领域
argue	v. 争论；争吵
argument	n. 争论；论点
arm	n. 臂；支架；（美）武器；武力
army	n. 军队
around	adv. 在周围；在附近；prep. 在......周围；大约
arrange	v. 安排；整理
arrangement	n. 安排；布置
arrive	v. 到达；达到
arrive at	phr. 到达较小地点；得出
arrive in	phr. 到达较大地点
art	n. 艺术；美术；技艺
article	n. 文章；物品；冠词
artist	n. 艺术家；美术家
as	adv./conj. 像......一样；当......时；如同；因为；prep. 作为；当做
as a result	phr. 因此；结果
as far as	phr. 就......而言；远至
as for	phr. 至于；关于
as long as	phr. 只要
as soon as	phr. 一......就......
as usual	phr. 像往常一样
as well	phr. 也；还
as well as	phr. 除......之外也；和
ask	v. 问；请求；要求；邀请
ask for	phr. 请求；要求
asleep	adj. 睡着的；熟睡
astronaut	n. 宇航员；航天员；太空旅行者
at	prep. 在（几点钟）；在（某处）
at first	phr. 起初；首先
at home	phr. 在家
at last	phr. 最后；终于
at least	phr. 至少
at once	phr. 立刻；马上
at present	phr. 目前；现在
at school	phr. 在学校
at the age of	phr. 在......岁时
at the beginning of	phr. 在......开始时
at the end of	phr. 在......末尾
at the same time	phr. 同时
athlete	n. 运动员；体育家；身强力壮的人
attack	v./n. 攻击；袭击
attend	v. 看护；照料；服侍；出席；参加
attention	n. 注意；关心
attract	v. 吸引；引起
audience	n. 观众；听众；读者
aunt	n. 伯母；舅母；婶；姑；姨
autumn	n. 秋天；秋季
available	adj. 可获得的；可购得的；可找到的
average	n. 平均；平均数；海损；adj. 平均的；普通的；通常的；v. 算出...的平均数；将...平均分配；使...平衡
avoid	v. 避免；避开；躲避
awake	v. 唤醒；adj. 醒着的
award	n. 奖品；判决；v. 授予；判定
away	adv. 离开；远离
awful	adj.极坏的、极讨厌的、糟糕的、可怕的
baby	n. 婴儿
back	adv. 回（原处）；向后；adj. 后面的；n. 背后；后部；背
background	n. 背景；隐蔽的位置；adj. 背景的；发布背景材料的；v. 作...的背景
bad	adj. 坏的；有害的；不利的；严重的
badminton	n. 羽毛球
bag	n. 袋；猎获物；（俚）一瓶啤酒；v. 猎获；把...装入袋中；占据
bakery	n. 面包店
balance	n. 平衡；余额；匀称；v. 使平衡；结算；使相称
ball	n. 球；n. 舞会
ballet	n. 芭蕾舞剧；芭蕾舞乐曲
balloon	n. 气球
bamboo	n. 竹子
banana	n. 香蕉
band	n. 乐队；波段；一伙；一帮；带（状物）
bank	n.（河海湖的）岸；堤； 银行
bark	n. 树皮；深青棕色；毛皮；v. 狗叫；尖叫；剥皮
base	n. 根据地；基地；（棒球）垒
baseball	n. 棒球
basic	n. 基础；要素；adj. 基本的；基础的
basket	n. 篮子
basketball	n. 篮球
bat	n. 蝙蝠；球棒；球拍；v. 用球棒击球；击球率达...；轮到击球
bathroom	n. 浴室；厕所；盥洗室
battery	n. 电池；蓄电池；殴打
be	v. 是；成为；存在
be able to	phr. 能够
be afraid of	phr. 害怕
be angry with	phr. 生某人的气
be born	phr. 出生
be busy with	phr. 忙于
be careful with	phr. 小心对待
be different from	phr. 与......不同
be famous for	phr. 因......而著名
be filled with	phr. 充满
be fond of	phr. 喜爱
be full of	phr. 充满
be good at	phr. 擅长
be good for	phr. 对......有益
be interested in	phr. 对......感兴趣
be late for	phr. 迟到
