Word	Definition
a	art. 一（个；件）
about	adv. 大约；到处；四处；prep. 关于；在各处；四处
above	prep. 在......上面；adj. 上面的；adv. 在......之上
across	prep./adv. 横过；穿过；另一边；在对面
afraid	adj. 害怕的；担心
after	adv. 在后；后来；prep. 在......之后；conj. 在......以后
against	prep. 对着；反对；倚靠
air	n. 空气；大气
all	adv. 全部地；adj. 全（部）；所有的；总；整；pron. 全部；全体
although	conj. 虽然；尽管
an	art. 一（个；件）
and	conj. 和；又
angry	adj. 生气的；愤怒的
animal	n. 动物
another	adj. 再一；另一；别的；pron. 另一个
answer	n. 回答；答复；答案；v. 回答；答复；（作出）答案
any	pron. 任何的；（用于疑问句、否定句）一些；什么
anybody	n. 重要人物；pron. 任何人
anything	pron. 什么事（物）；任何事（物）
around	adv. 在周围；在附近；prep. 在......周围；大约
arrive	v. 到达；达到
as	adv./conj. 像......一样；当......时；如同；因为；prep. 作为；当做
ask	v. 问；请求；要求；邀请
at	prep. 在（几点钟）；在（某处）
bad	adj. 坏的；有害的；不利的；严重的
be	v. 是；成为；存在
because	conj. 因为
become	v. 变得；成为
before	prep. 在......以前；在......前面；adv. 以前；conj. 在......之前
begin	v. 开始；着手
behind	prep. （表示位置）在......后面；adv. 在后面；向后
believe	v. 相信；认为
below	prep. 在......下面
beside	prep. 在......旁边；靠近
between	prep. 在...之间；adv. 在中间
big	adj. 大的
body	n. 身体
book	n. 书；本子；v. 预定；定（房间、车票等）
both	adj. 两；双；pron. 两者；双方
bring	v. 拿来；带来；取来
busy	adj. 忙（碌）的
but	conj. 但是；可是；prep. 除了； 除............外
buy	v. 买
by	prep. 在......旁；不迟于；被；用；乘（车）
call	n. 喊；叫；电话；通话；v. 称呼；呼唤；喊；叫
can	modal v. 能；会；可以
careful	adj. 小心；仔细；谨慎的
careless	adj. 粗心的；漫不经心的
carry	v. 拿；搬；带；提；抬；背；抱；运等
choose	v. 选择
class	n.（学校的）班；年级；课
clever	adj. 聪明的；伶俐的
close	adj. 亲密的；近；靠近；adv. 近；靠近；v. 关；关闭
cold	adj. 冷的；寒的；n. 寒冷；感冒；伤风
come	v. 来；来到
continue	v. 继续
cook	n. 炊事员；厨师；v. 烹调；做饭
cool	adj. 凉的；凉爽的；酷
cost	v.值（钱）；花费；n. 价格
could	modal v. 能；可以；可能
day	n.（一）天；（一）日；白天
decide	v. 决定；下决心
different	adj. 不同的；有差异的
difficult	adj. 难；艰难；不易相处的
do	v./aux. 做；干
draw	v. 绘画；绘制；拉；拖；提取（金钱）
drink	n. 饮料；喝酒
each	adj./pron. 每人；每个；每件
early	adj. 早的；adv. 早地
easy	adj. 容易的；不费力的
eat	v. 吃
enough	n. 足够；充足；adj. 足够；充分的；adv. 足够地；充分地
environment	n.环境
every	adj. 每一；每个的
everybody	pron. 每人；人人
everyone	pron. 每人；人人
everything	pron. 每件事；事事
exam	n. 考试；测试；检查；审查
excited	v. 激动；唤起；adj. 兴奋的；激动的；活跃的
exercise	n. 锻炼；做操；练习；习题；v. 锻炼
experience	n. 经历；经验；v. 经历
false	adj. 错误的；假的
family	n. 家庭；家族；子女
fast	adj. 快的；迅速的；紧密的；adv. 快地；迅速地；紧密地
feel	v./link 感觉；觉得；摸；触
few	pron. 不多；少数；不多的；少数的
find	v. 找到；发现；认为
finish	v. 结束；做完
food	n. 食物；食品
for	prep. 为了......；因为......；对于......；对......来说；conj. 因为；由于
forget	v. 忘记；忘掉
free	adj. 自由；空闲的；免费的
friend	n. 朋友
friendly	adj. 友好的
from	prep. 从；从......起；来自
future	n. 将来、未来
get	v. 成为；得到；具有；到达
give	v. 给；递给；付出；给予
go	v. 去；走；驶；通到；到达；n. 尝试（做某事）
good	adj. 好；良好
happy	adj. 幸福；快乐的；高兴的
hard	adv. 努力地；猛烈地；adj. 硬的；困难的；艰难的
hate	v./n. 恨；讨厌
have	v. 有；吃；喝；进行；经受
he	pron. 他
health	n. 健康；卫生
healthy	adj. 健康的；健壮的
hear	v. 听见；听说
help	n./v. 帮助；帮忙
helpful	adj. 有帮助的；有益的
her	pron. 她（宾格）；她的
high	adj. 高的；高度的；adv. 高地
him	pron. 他（宾格）
his	pron. 他的
hold	v. 拿；抱；握住；举行；进行
home	n. 家；adv. 到家；回家
hope	n./v. 希望
hot	adj. 热的
how	adv. 怎样；如何；多么
i	pron. 我
idea	n. 主意；意见；打算；想法
if	conj. 如果；假使；是否；是不是
important	adj. 重要的
impossible	adj. 不可能的
in	prep. 在......里（内）；在；adv. 在家；在内；向内
information	n. 信息
interested	adj. 感兴趣的
into	prep. 到......里；向内；变成
it	pron. 它；这件事
its	pron. 它的
keep	v. 保持；保存；继续不断；v. 培育；饲养
kind	n. 种；类；adj. 善良；友好的
know	v. 知道；了解；认识；懂得
language	n. 语言
late	adj. 晚的；迟的；adv. 晚地；迟地
learn	v. 学；学习；学会
least	det. 最少的；adv. 最少地
leave	v. 离开；把......留下；剩下
less	det. 较少的；adv. 较少地
lesson	n. 课；功课；教训
lie	v. 躺；卧；平放；位于n./v.（lied；lied） 说谎
life	n. 生命；生涯；生活；人生；生物
like	prep. 像；跟......一样；v. 喜欢；喜爱
listen	v. 听；仔细听
little	adj. 小的；少的；adv. 很少地； 稍许；n. 没有多少
live	v. 生活；居住；活着；adj. 活的；活着的；现场（直播）的
long	adj. 长的；远；adv. 长久
look	n. 看；瞧；v. 看；观看；v. link 看起来
love	n./v. 爱；热爱；很喜欢
low	adj./adv. 低；矮
make	v. 制造；做；使得
many	pron. 许多人（或物）adj. 许多的
may	modal v. 可以；可能
me	pron. 我（宾格）
mean	v. 意思；意指
meet	v./n. 遇见；见到 会；集会
message	n. 消息；音信
might	modal v. 可能；也许
mind	n. 思想；想法；v.介意；关心
money	n. 钱；货币
